h3_index,cluster_id,cluster_meaning
891f53cb387ffff,7,7: highway_bus_stop
891f53cb38bffff,5,5: shop_greengrocer
891f53cb38fffff,5,5: shop_greengrocer
891f53cb393ffff,5,5: shop_greengrocer
891f53cb39bffff,5,5: shop_greengrocer
891f53cb3a3ffff,4,4: landuse_cemetery
891f53cb3abffff,5,5: shop_greengrocer
891f53cb3b3ffff,7,7: highway_bus_stop
891f53cb3bbffff,9,9: aeroway_aerodrome
891f53cb3c3ffff,10,10: building_apartments
891f53cb3c7ffff,10,10: building_apartments
891f53cb3cbffff,5,5: shop_greengrocer
891f53cb3cfffff,0,0: landuse_industrial
891f53cb3d3ffff,10,10: building_apartments
891f53cb3d7ffff,5,5: shop_greengrocer
891f53cb3dbffff,6,6: building_office
891f53cb417ffff,4,4: landuse_cemetery
891f53cb433ffff,8,8: landuse_industrial
891f53cb437ffff,8,8: landuse_industrial
891f53cb443ffff,6,6: building_office
891f53cb44bffff,6,6: building_office
891f53cb44fffff,3,3: landuse_industrial
891f53cb453ffff,9,9: aeroway_aerodrome
891f53cb457ffff,10,10: building_apartments
891f53cb45bffff,6,6: building_office
891f53cb463ffff,8,8: landuse_industrial
891f53cb473ffff,8,8: landuse_industrial
891f53cb47bffff,8,8: landuse_industrial
891f53cb483ffff,10,10: building_apartments
891f53cb487ffff,5,5: shop_greengrocer
891f53cb48bffff,10,10: building_apartments
891f53cb48fffff,5,5: shop_greengrocer
891f53cb493ffff,5,5: shop_greengrocer
891f53cb497ffff,5,5: shop_greengrocer
891f53cb4a3ffff,9,9: aeroway_aerodrome
891f53cb4a7ffff,5,5: shop_greengrocer
891f53cb4abffff,5,5: shop_greengrocer
891f53cb4afffff,5,5: shop_greengrocer
891f53cb4b3ffff,9,9: aeroway_aerodrome
891f53cb4b7ffff,5,5: shop_greengrocer
891f53cb4bbffff,5,5: shop_greengrocer
891f53cb4cbffff,9,9: aeroway_aerodrome
891f53cb4cfffff,9,9: aeroway_aerodrome
891f53cb4dbffff,5,5: shop_greengrocer
891f53cb503ffff,8,8: landuse_industrial
891f53cb507ffff,9,9: aeroway_aerodrome
891f53cb50bffff,6,6: building_office
891f53cb50fffff,3,3: landuse_industrial
891f53cb513ffff,8,8: landuse_industrial
891f53cb517ffff,8,8: landuse_industrial
891f53cb51bffff,9,9: aeroway_aerodrome
891f53cb523ffff,9,9: aeroway_aerodrome
891f53cb52bffff,5,5: shop_greengrocer
891f53cb52fffff,8,8: landuse_industrial
891f53cb533ffff,9,9: aeroway_aerodrome
891f53cb537ffff,3,3: landuse_industrial
891f53cb53bffff,5,5: shop_greengrocer
891f53cb543ffff,4,4: landuse_cemetery
891f53cb547ffff,5,5: shop_greengrocer
891f53cb54fffff,5,5: shop_greengrocer
891f53cb553ffff,8,8: landuse_industrial
891f53cb557ffff,5,5: shop_greengrocer
891f53cb563ffff,6,6: building_office
891f53cb567ffff,9,9: aeroway_aerodrome
891f53cb56bffff,6,6: building_office
891f53cb56fffff,3,3: landuse_industrial
891f53cb573ffff,6,6: building_office
891f53cb577ffff,5,5: shop_greengrocer
891f53cb57bffff,5,5: shop_greengrocer
891f53cb583ffff,3,3: landuse_industrial
891f53cb58bffff,8,8: landuse_industrial
891f53cb58fffff,6,6: building_office
891f53cb593ffff,0,0: landuse_industrial
891f53cb597ffff,0,0: landuse_industrial
891f53cb59bffff,6,6: building_office
891f53cb5a3ffff,3,3: landuse_industrial
891f53cb5a7ffff,6,6: building_office
891f53cb5abffff,3,3: landuse_industrial
891f53cb5afffff,6,6: building_office
891f53cb5b7ffff,5,5: shop_greengrocer
891f53cb5bbffff,8,8: landuse_industrial
891f53cb5c3ffff,9,9: aeroway_aerodrome
891f53cb5c7ffff,5,5: shop_greengrocer
891f53cb5cbffff,8,8: landuse_industrial
891f53cb5cfffff,5,5: shop_greengrocer
891f53cb5d3ffff,8,8: landuse_industrial
891f53cb5d7ffff,5,5: shop_greengrocer
891f53cb5dbffff,6,6: building_office
891f53cb603ffff,4,4: landuse_cemetery
891f53cb607ffff,5,5: shop_greengrocer
891f53cb60bffff,6,6: building_office
891f53cb60fffff,5,5: shop_greengrocer
891f53cb613ffff,6,6: building_office
891f53cb617ffff,1,1: amenity_nightclub
891f53cb623ffff,10,10: building_apartments
891f53cb627ffff,5,5: shop_greengrocer
891f53cb62bffff,9,9: aeroway_aerodrome
891f53cb62fffff,5,5: shop_greengrocer
891f53cb633ffff,5,5: shop_greengrocer
891f53cb637ffff,5,5: shop_greengrocer
891f53cb63bffff,5,5: shop_greengrocer
891f53cb64bffff,3,3: landuse_industrial
891f53cb64fffff,6,6: building_office
891f53cb65bffff,3,3: landuse_industrial
891f53cb663ffff,5,5: shop_greengrocer
891f53cb667ffff,5,5: shop_greengrocer
891f53cb66bffff,5,5: shop_greengrocer
891f53cb66fffff,5,5: shop_greengrocer
891f53cb673ffff,5,5: shop_greengrocer
891f53cb677ffff,5,5: shop_greengrocer
891f53cb67bffff,5,5: shop_greengrocer
891f53cb683ffff,6,6: building_office
891f53cb687ffff,6,6: building_office
891f53cb68fffff,6,6: building_office
891f53cb697ffff,9,9: aeroway_aerodrome
891f53cb6a3ffff,9,9: aeroway_aerodrome
891f53cb6a7ffff,5,5: shop_greengrocer
