h3_index,cluster_id,cluster_meaning
891f53cdd5bffff,8,8: landuse_industrial
891f53cdd6bffff,2,2: building_house
891f53cdd73ffff,2,2: building_house
891f53cdd7bffff,2,2: building_house
891f53cdd83ffff,11,11: building_house
891f53cdd8bffff,0,0: landuse_industrial
891f53cdd8fffff,0,0: landuse_industrial
891f53cdd93ffff,2,2: building_house
891f53cdd97ffff,2,2: building_house
891f53cdd9bffff,2,2: building_house
891f53cddc3ffff,8,8: landuse_industrial
891f53cddc7ffff,3,3: landuse_industrial
891f53cddcfffff,3,3: landuse_industrial
891f53cddd7ffff,0,0: landuse_industrial
891f53cde03ffff,8,8: landuse_industrial
891f53cde07ffff,8,8: landuse_industrial
891f53cde0bffff,8,8: landuse_industrial
891f53cde13ffff,8,8: landuse_industrial
891f53cde17ffff,8,8: landuse_industrial
891f53cde1bffff,8,8: landuse_industrial
891f53cde23ffff,0,0: landuse_industrial
891f53cde27ffff,0,0: landuse_industrial
891f53cde2fffff,0,0: landuse_industrial
891f53cde33ffff,0,0: landuse_industrial
891f53cde37ffff,0,0: landuse_industrial
891f53cde3bffff,8,8: landuse_industrial
891f53cde47ffff,8,8: landuse_industrial
891f53cde4fffff,8,8: landuse_industrial
891f53cde53ffff,3,3: landuse_industrial
891f53cde57ffff,8,8: landuse_industrial
891f53cde73ffff,7,7: highway_bus_stop
891f53cde7bffff,8,8: landuse_industrial
891f53cde8bffff,8,8: landuse_industrial
891f53cde8fffff,8,8: landuse_industrial
891f53cdeabffff,8,8: landuse_industrial
891f53cdec3ffff,8,8: landuse_industrial
891f53cdec7ffff,8,8: landuse_industrial
891f53cdecbffff,3,3: landuse_industrial
891f53cdecfffff,8,8: landuse_industrial
891f53cded3ffff,3,3: landuse_industrial
891f53cdedbffff,3,3: landuse_industrial
891f53ce003ffff,11,11: building_house
891f53ce007ffff,2,2: building_house
891f53ce00bffff,2,2: building_house
891f53ce013ffff,2,2: building_house
891f53ce01bffff,2,2: building_house
891f53ce023ffff,11,11: building_house
891f53ce033ffff,2,2: building_house
891f53ce043ffff,11,11: building_house
891f53ce04bffff,2,2: building_house
891f53ce057ffff,2,2: building_house
891f53ce063ffff,4,4: landuse_cemetery
891f53ce067ffff,0,0: landuse_industrial
891f53ce06fffff,2,2: building_house
891f53ce073ffff,2,2: building_house
891f53ce087ffff,7,7: highway_bus_stop
891f53ce0a7ffff,4,4: landuse_cemetery
891f53ce0b3ffff,11,11: building_house
891f53ce0c7ffff,2,2: building_house
891f53ce0d3ffff,7,7: highway_bus_stop
